 Precision Recall Fbeta
workclass__Self-emp-not-inc 0.7037037037037037 0.2602739726027397 0.38
workclass__? 0.5714285714285714 0.3076923076923077 0.4
workclass__Private 0.7051282051282052 0.2669902912621359 0.3873239436619718
workclass__Federal-gov 0.75 0.2625 0.38888888888888895
workclass__Local-gov 0.6666666666666666 0.28346456692913385 0.39779005524861877
workclass__Self-emp-inc 0.8936170212765957 0.336 0.4883720930232558
workclass__State-gov 0.8095238095238095 0.25 0.38202247191011235
workclass__Never-worked 1.0 1.0 1.0
workclass__Without-pay 1.0 1.0 1.0
education__HS-grad 0.6111111111111112 0.23218997361477572 0.3365200764818356
education__Assoc-voc 0.7083333333333334 0.19101123595505617 0.30088495575221236
education__Masters 0.8974358974358975 0.35714285714285715 0.5109489051094891
education__Some-college 0.6037735849056604 0.22377622377622378 0.32653061224489793
education__Bachelors 0.8125 0.2968036529680365 0.43478260869565216
education__11th 0.3 0.3 0.3
education__10th 0.3333333333333333 0.2222222222222222 0.26666666666666666
education__Prof-school 0.972972972972973 0.4444444444444444 0.6101694915254238
education__12th 0.0 0.0 0.0
education__9th 0.25 0.16666666666666666 0.2
education__Assoc-acdm 0.7857142857142857 0.20754716981132076 0.3283582089552239
education__Doctorate 1.0 0.35294117647058826 0.5217391304347826
education__5th-6th 0.16666666666666666 0.3333333333333333 0.2222222222222222
education__7th-8th 0.0 0.0 0.0
education__1st-4th 0.0 0.0 0.0
education__Preschool 1.0 1.0 1.0
marital-status__Married-civ-spouse 0.8352941176470589 0.2576197387518142 0.3937881308929562
marital-status__Widowed 0.5 0.4444444444444444 0.47058823529411764
marital-status__Never-married 0.4017094017094017 0.4351851851851852 0.41777777777777775
marital-status__Divorced 0.5833333333333334 0.2978723404255319 0.39436619718309857
marital-status__Separated 0.16666666666666666 0.1111111111111111 0.13333333333333333
marital-status__Married-spouse-absent 0.6666666666666666 0.3333333333333333 0.4444444444444444
marital-status__Married-AF-spouse 1.0 0.0 0.0
occupation__Exec-managerial 0.8732394366197183 0.3069306930693069 0.45421245421245415
occupation__? 0.5714285714285714 0.3076923076923077 0.4
occupation__Tech-support 0.7619047619047619 0.23880597014925373 0.36363636363636365
occupation__Craft-repair 0.6197183098591549 0.22448979591836735 0.3295880149812734
occupation__Other-service 0.1875 0.125 0.15
occupation__Adm-clerical 0.4791666666666667 0.22772277227722773 0.3087248322147651
occupation__Machine-op-inspct 0.42105263157894735 0.14285714285714285 0.21333333333333335
occupation__Prof-specialty 0.8333333333333334 0.3203342618384401 0.4627766599597586
occupation__Sales 0.7971014492753623 0.2631578947368421 0.3956834532374101
occupation__Protective-serv 0.6875 0.2 0.3098591549295775
occupation__Handlers-cleaners 0.4444444444444444 0.32 0.37209302325581395
occupation__Transport-moving 0.7142857142857143 0.2542372881355932 0.375
occupation__Farming-fishing 0.5 0.3333333333333333 0.4
occupation__Priv-house-serv 0.0 1.0 0.0
occupation__Armed-Forces 1.0 1.0 1.0
relationship__Husband 0.8461538461538461 0.25061025223759154 0.386691776522285
relationship__Not-in-family 0.5118110236220472 0.3672316384180791 0.4276315789473684
relationship__Other-relative 0.3333333333333333 0.2222222222222222 0.26666666666666666
relationship__Own-child 0.2 0.4 0.26666666666666666
relationship__Unmarried 0.4827586206896552 0.32558139534883723 0.38888888888888895
relationship__Wife 0.7796610169491526 0.323943661971831 0.4577114427860696
race__White 0.7297297297297297 0.2751358695652174 0.399605328071041
race__Amer-Indian-Eskimo 0.0 0.0 0.0
race__Black 0.6296296296296297 0.2 0.3035714285714286
race__Asian-Pac-Islander 0.68 0.34 0.4533333333333334
race__Other 0.5 0.4 0.4444444444444445
sex__Male 0.7622080679405521 0.2612809315866084 0.38915989159891595
sex__Female 0.5694444444444444 0.34024896265560167 0.425974025974026
native-country__United-States 0.7235915492957746 0.2765814266487214 0.40019474196689386
native-country__England 1.0 0.0 0.0
native-country__? 0.5833333333333334 0.2692307692307692 0.3684210526315789
native-country__Columbia 0.0 1.0 0.0
native-country__Greece 1.0 1.0 1.0
native-country__Philippines 0.6 0.23076923076923078 0.33333333333333337
native-country__Mexico 0.3333333333333333 0.16666666666666666 0.2222222222222222
native-country__Honduras 1.0 1.0 1.0
native-country__Vietnam 0.0 0.0 0.0
native-country__Puerto-Rico 0.0 0.0 0.0
native-country__Cambodia 1.0 0.0 0.0
native-country__South 0.6666666666666666 0.6666666666666666 0.6666666666666666
native-country__Guatemala 1.0 0.5 0.6666666666666666
native-country__Nicaragua 1.0 1.0 1.0
native-country__Poland 1.0 0.0 0.0
native-country__Iran 1.0 0.3333333333333333 0.5
native-country__Yugoslavia 1.0 0.0 0.0
native-country__Germany 1.0 0.3333333333333333 0.5
native-country__China 1.0 0.3333333333333333 0.5
native-country__El-Salvador 1.0 1.0 1.0
native-country__Taiwan 1.0 0.4 0.5714285714285715
native-country__Thailand 1.0 0.0 0.0
native-country__Italy 1.0 0.0 0.0
native-country__Ireland 1.0 0.0 0.0
native-country__Jamaica 1.0 0.0 0.0
native-country__Scotland 1.0 1.0 1.0
native-country__India 1.0 0.5 0.6666666666666666
native-country__Laos 1.0 0.0 0.0
native-country__Outlying-US(Guam-USVI-etc) 1.0 1.0 1.0
native-country__Ecuador 1.0 1.0 1.0
native-country__France 1.0 0.0 0.0
native-country__Peru 1.0 0.0 0.0
native-country__Japan 0.0 0.0 0.0
native-country__Haiti 1.0 1.0 1.0
native-country__Dominican-Republic 1.0 1.0 1.0
native-country__Hungary 0.0 1.0 0.0
native-country__Cuba 1.0 0.2 0.33333333333333337
native-country__Canada 0.75 0.42857142857142855 0.5454545454545454
native-country__Portugal 1.0 0.0 0.0
native-country__Hong 1.0 1.0 1.0
native-country__Holand-Netherlands 0.0 1.0 0.0
native-country__Trinadad&Tobago 1.0 1.0 1.0
 Precision Recall Fbeta
workclass__Private 0.6676056338028169 0.23280943025540274 0.3452294246176256
workclass__? 0.5555555555555556 0.375 0.44776119402985076
workclass__Federal-gov 0.7647058823529411 0.18309859154929578 0.29545454545454547
workclass__State-gov 0.9545454545454546 0.3 0.45652173913043476
workclass__Self-emp-not-inc 0.746031746031746 0.3219178082191781 0.44976076555023925
workclass__Local-gov 0.5319148936170213 0.19230769230769232 0.2824858757062147
workclass__Self-emp-inc 0.9375 0.39473684210526316 0.5555555555555556
workclass__Never-worked 1.0 1.0 1.0
workclass__Without-pay 1.0 1.0 1.0
education__HS-grad 0.5161290322580645 0.1927710843373494 0.28070175438596495
education__9th 0.6666666666666666 0.25 0.36363636363636365
education__Assoc-acdm 0.6875 0.16666666666666666 0.2682926829268293
education__7th-8th 0.3333333333333333 0.125 0.18181818181818182
education__Bachelors 0.8461538461538461 0.27069351230425054 0.4101694915254237
education__Some-college 0.5663716814159292 0.23443223443223443 0.33160621761658027
education__Preschool 0.0 1.0 0.0
education__Prof-school 0.926829268292683 0.3877551020408163 0.5467625899280575
